numer gracza	ksywa	inicjaly	LVL	EXP	SIL	DMG	WIO	NZ	N (budżet)	DB	SU	ST	SP	SZ	PŻ	kierowca	kurs cichociemnych	kurs THH	Kurs Małkowskiego	Kurs Wigierczyków	zWIO	zSIL	zN	zDB	plecak	hełm	zbroja	ręka 1	ręka 2	inne 1	inne 2	N wydane na gildię	N wydane prywatnie	uwagi
0000	Jaskier	HK	1	252	90	59	120	200	200	100	41.20%	42%	47%	50%	100	nie	-	-	tak	tak	2%	0%	29%	25%	Plecak: SU-2% SP-2%	Pejsy Którego: zN+3% SP-1%	Kurtka z dużymi kieszeniami: zSIL-1% zN+2%	Stary pad od Xboxa: zSIL+2% zN-1%	Rękawiczki lateksowe: zWIO+2% zSIL-1%	Płyn dezynfekujący: 	Deskorolka: SU+2% ST-1%	0	0	
0001	Zuza	ZK	6	2492	210	71	340	11201	1001	2000	46.40%	61%	73%	53%	200	nie	tak	-	-	-	2%	-2%	0%	0%	Plecak: SU-2% SP-2%	-	Pancerz wspomagany: SU+5% PZ+100	Rękawiczki lateksowe: zWIO+2% zSIL-1%	-	Szyszka z INO: SZ+3%	XIX-wieczny Ręcznie Kuty Gwóźdź: zSIL-1% ST+3%	10000	200	
0002	Noob	NN	3	700	0	50	0	0	0	700	40.00%	49%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-	0	0	
0003			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0004			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0005			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0006			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0007			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0008			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0009			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0010			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0011			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0012			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0013			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0014			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0015			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0016			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0017			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0018			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0019			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0020			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0021			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0022			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0023			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0024			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0025			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0026			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0027			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0028			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0029			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0030			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0031			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0032			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0033			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0034			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0035			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0036			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0037			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0038			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0039			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0040			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0041			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0042			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0043			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0044			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0045			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0046			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0047			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0048			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0049			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0050			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0051			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0052			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0053			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0054			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0055			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0056			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0057			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0058			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0059			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0060			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0061			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0062			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0063			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0064			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0065			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0066			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0067			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0068			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0069			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
0070			1	0		50		0		0	40.00%	43%	50%	50%	100	nie	-	-	-	-	0%	0%	0%	0%	-	-	-	-	-	-	-			
